property_type,zip,neighborhood,latitude,longitude
Retail Store,98105,NORTHEAST,47.66384364,-122.29717129
K-12 School,98109,MAGNOLIA / QUEEN ANNE,47.63189062,-122.35355257
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.66492005,-122.35223915
Residence Hall/Dormitory,98105,NORTHEAST,47.66278139,-122.30509963
Office,98105,NORTHEAST,47.664750299999994,-122.30155368
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.67572194,-122.3284741
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.67496795,-122.33300390000001
Mixed Use Property,98144,SOUTHEAST,47.57256697,-122.2926683
Residence Hall/Dormitory,98105,NORTHEAST,47.66156867,-122.30429140000001
Worship Facility,98105,NORTHEAST,47.66553115,-122.27452520000001
Worship Facility,98118,SOUTHEAST,47.54382945,-122.2666646
Mixed Use Property,98107,BALLARD,47.66848688,-122.3891043
Mixed Use Property,98107,BALLARD,47.66840403,-122.3879978
K-12 School,98115,NORTHEAST,47.67477763,-122.26229369999999
Retail Store,98105,NORTHEAST,47.66032028,-122.31348419
Other - Entertainment/Public Assembly,98105,NORTHEAST,47.66091704,-122.3139571
Worship Facility,98105,NORTHEAST,47.65896482,-122.3123803
Residence Hall/Dormitory,98105,NORTHEAST,47.65710843,-122.3140463
Other - Education,98105,NORTHEAST,47.65027202,-122.31300859999999
Other - Education,98105,NORTHEAST,47.65027202,-122.31300859999999
Worship Facility,98115,NORTHEAST,47.68762613,-122.2988487
K-12 School,98115,NORTHEAST,47.68698452,-122.3001519
Office,98103,LAKE UNION,47.647424799999996,-122.33207390000001
K-12 School,98144,GREATER DUWAMISH,47.57435237,-122.30279499999999
Mixed Use Property,98107,BALLARD,47.65759684,-122.3664114
K-12 School,98116,SOUTHWEST,47.56485289,-122.38521848
K-12 School,98116,SOUTHWEST,47.56502533,-122.38456726
Worship Facility,98116,SOUTHWEST,47.56334562,-122.38494153
Mixed Use Property,98116,SOUTHWEST,47.56221008,-122.38638306
Mixed Use Property,98116,SOUTHWEST,47.56147766,-122.38638306
Other - Recreation,98116,SOUTHWEST,47.56279704,-122.38212068
Supermarket/Grocery Store,98126,SOUTHWEST,47.56234935,-122.38090294
Fitness Center/Health Club/Gym,98126,SOUTHWEST,47.56229286,-122.37856054
Office,98126,SOUTHWEST,47.5619656,-122.37860657
Mixed Use Property,98125,NORTH,47.72145421,-122.2960621
Other,98125,NORTH,47.72032547,-122.29509159999999
Other,98125,NORTH,47.72586701,-122.2871111
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.55218148,-122.3232298
Medical Office,98122,CENTRAL,47.6012949,-122.3045281
Other - Mall,98116,SOUTHWEST,47.56033119,-122.3871845
K-12 School,98144,GREATER DUWAMISH,47.58508977,-122.3153598
Distribution Center,98144,GREATER DUWAMISH,47.58493545,-122.30645590000002
Refrigerated Warehouse,98144,GREATER DUWAMISH,47.58520699,-122.3059527
Non-Refrigerated Warehouse,98144,GREATER DUWAMISH,47.58473587,-122.30489349
Office,98144,GREATER DUWAMISH,47.58501969,-122.30501650000001
Distribution Center,98144,GREATER DUWAMISH,47.58594125,-122.30452749999999
Office,98144,SOUTHEAST,47.58600295,-122.30352759999998
Office,98144,SOUTHEAST,47.58585718,-122.2996162
Other - Recreation,98144,SOUTHEAST,47.58534028,-122.2976397
Other - Services,98144,SOUTHEAST,47.57012605,-122.292111
Supermarket/Grocery Store,98109,MAGNOLIA / QUEEN ANNE,47.63770856,-122.3560834
Other - Recreation,98119,MAGNOLIA / QUEEN ANNE,47.63636811,-122.35791709999998
Non-Refrigerated Warehouse,98106,DELRIDGE NEIGHBORHOODS,47.56439838,-122.3535263
K-12 School,98112,EAST,47.63179299,-122.30782859999998
Worship Facility,98199,MAGNOLIA / QUEEN ANNE,47.63913312,-122.40335990000001
Automobile Dealership,98125,NORTH,47.72599646,-122.2930226
Self-Storage Facility,98125,NORTH,47.72310925,-122.29422759999999
K-12 School,98119,MAGNOLIA / QUEEN ANNE,47.63107491,-122.3584347
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,47.63164576,-122.3584314
Distribution Center,98108,GREATER DUWAMISH,47.5436441,-122.3078483
K-12 School,98102,LAKE UNION,47.64246976,-122.3239614
Office,98102,LAKE UNION,47.64256231,-122.3262091
Office,98102,LAKE UNION,47.64430073,-122.3262467
Office,98102,LAKE UNION,47.64635866,-122.32573470000001
Residence Hall/Dormitory,98103,LAKE UNION,47.65018106,-122.34426380000001
Office,98103,LAKE UNION,47.64867065,-122.3424503
Office,98103,LAKE UNION,47.64888467,-122.34648390000001
Senior Care Community,98117,BALLARD,47.69846975,-122.36713059999998
Worship Facility,98115,NORTHEAST,47.67465943,-122.29282579999999
K-12 School,98115,NORTHEAST,47.67465943,-122.29282579999999
Office,98103,NORTHWEST,47.68599886,-122.35671310000001
K-12 School,98117,NORTHWEST,47.68635845,-122.3561893
Worship Facility,98178,SOUTHEAST,47.51063848,-122.26265079999999
K-12 School,98109,MAGNOLIA / QUEEN ANNE,47.637673,-122.3485889
Senior Care Community,98118,SOUTHEAST,47.55391552,-122.27879180000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.5536881,-122.32486680000001
Office,98108,GREATER DUWAMISH,47.55315894,-122.32608540000001
Office,98108,GREATER DUWAMISH,47.55196738,-122.3251545
Other - Recreation,98108,GREATER DUWAMISH,47.55169324,-122.32455490000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.55047761,-122.32378929999999
Office,98108,GREATER DUWAMISH,47.55148102,-122.32636129999999
Office,98108,GREATER DUWAMISH,47.55129662,-122.3257379
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.55102755,-122.325166
Office,98103,LAKE UNION,47.65566368,-122.34682409999999
Mixed Use Property,98102,NORTHEAST,47.65197566,-122.3216429
Office,98103,LAKE UNION,47.65172127,-122.3509877
Office,98103,LAKE UNION,47.64916511,-122.3453828
Non-Refrigerated Warehouse,98103,LAKE UNION,47.64977229,-122.3492219
Mixed Use Property,98103,LAKE UNION,47.65018452,-122.34934820000001
Office,98103,LAKE UNION,47.65105661,-122.34957709999999
Retail Store,98103,LAKE UNION,47.65115517,-122.3503019
Retail Store,98103,LAKE UNION,47.65030562,-122.3502699
Mixed Use Property,98103,LAKE UNION,47.65045108,-122.352043
Distribution Center,98103,LAKE UNION,47.65202472,-122.3560533
Office,98103,LAKE UNION,47.65184745,-122.3552423
Other,98103,LAKE UNION,47.65136879999999,-122.35560559999999
Office,98107,LAKE UNION,47.65288467,-122.35843490000002
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,47.649083700000006,-122.3604006
Office,98109,MAGNOLIA / QUEEN ANNE,47.648041,-122.3552148
Office,98109,MAGNOLIA / QUEEN ANNE,47.64975976,-122.3568838
Office,98109,MAGNOLIA / QUEEN ANNE,47.649758399999996,-122.3562524
Office,98109,MAGNOLIA / QUEEN ANNE,47.65015243,-122.3572523
Other,98103,LAKE UNION,47.64971767,-122.3528932
Office,98109,MAGNOLIA / QUEEN ANNE,47.64934199,-122.35587720000001
Office,98109,MAGNOLIA / QUEEN ANNE,47.64934199,-122.35587720000001
Office,98109,MAGNOLIA / QUEEN ANNE,47.64863978,-122.35428950000001
Distribution Center,98106,DELRIDGE NEIGHBORHOODS,47.55075455,-122.34667969
Other,98133,NORTHWEST,47.72468861,-122.34120259999999
Other - Recreation,98133,NORTHWEST,47.72285088,-122.34062730000001
Office,98133,NORTHWEST,47.71997749,-122.3428237
Residential Care Facility,98133,NORTHWEST,47.72290244,-122.34249640000002
Other - Services,98133,NORTHWEST,47.72133496,-122.3410135
Non-Refrigerated Warehouse,98133,NORTHWEST,47.72161322,-122.34328640000001
Non-Refrigerated Warehouse,98133,NORTHWEST,47.72048923,-122.34244650000001
Office,98133,NORTHWEST,47.73381054,-122.347275
Other - Recreation,98133,NORTHWEST,47.72609705,-122.34459540000002
Retail Store,98133,NORTHWEST,47.72375488,-122.34352112
Retail Store,98133,NORTHWEST,47.72569066,-122.34326609999998
Worship Facility,98105,NORTHEAST,47.67008987,-122.3208898
K-12 School,98109,MAGNOLIA / QUEEN ANNE,47.64391816,-122.3501253
Senior Care Community,98109,MAGNOLIA / QUEEN ANNE,47.64411095,-122.3479548
Mixed Use Property,98109,LAKE UNION,47.62230021,-122.34144640000001
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,47.6222833,-122.36103179999999
Office,98109,MAGNOLIA / QUEEN ANNE,47.61888324,-122.35712120000001
Office,98122,EAST,47.61212272,-122.32200559999998
Other - Education,98122,EAST,47.60873934,-122.32031200000002
Medical Office,98122,EAST,47.60840241,-122.3203412
Office,98107,SHARED: BALLARD & LAKE UNION,47.66260444,-122.36462859999999
Non-Refrigerated Warehouse,98107,BALLARD,47.66388519,-122.3680682
Non-Refrigerated Warehouse,98107,BALLARD,47.65883454,-122.366972
Distribution Center,98107,BALLARD,47.65823532,-122.3663814
Mixed Use Property,98109,LAKE UNION,47.62295628,-122.3388493
Restaurant,98109,LAKE UNION,47.62346268,-122.33804321
Retail Store,98109,LAKE UNION,47.62388317,-122.3380453
Office,98109,LAKE UNION,47.62391992,-122.33839363
Office,98109,LAKE UNION,47.62261963,-122.33674622
Office,98109,LAKE UNION,47.62354214,-122.33620619999999
Office,98109,LAKE UNION,47.62799119,-122.3313097
Other,98109,MAGNOLIA / QUEEN ANNE,47.62124083,-122.35343219999999
Worship Facility,98109,MAGNOLIA / QUEEN ANNE,47.61884689,-122.35321045
Other,98109,MAGNOLIA / QUEEN ANNE,47.62005752,-122.35134950000001
Other,98109,MAGNOLIA / QUEEN ANNE,47.62126068,-122.35175109999999
Museum,98109,MAGNOLIA / QUEEN ANNE,47.62189039,-122.35027520000001
Other - Recreation,98109,MAGNOLIA / QUEEN ANNE,47.62048515,-122.349304
Other,98109,MAGNOLIA / QUEEN ANNE,47.6219494,-122.34992199999999
Office,98109,LAKE UNION,47.620536799999996,-122.33886719
Office,98109,LAKE UNION,47.62049677,-122.3375602
Office,98109,LAKE UNION,47.62028885,-122.3375473
Office,98109,LAKE UNION,47.62027313,-122.33811100000001
Office,98109,LAKE UNION,47.620536799999996,-122.33806609999999
Mixed Use Property,98109,MAGNOLIA / QUEEN ANNE,47.62232113,-122.35648219999999
Office,98102,LAKE UNION,47.63659738,-122.32823219999999
Office,98102,LAKE UNION,47.63613246,-122.32718759999999
K-12 School,98102,EAST,47.63252748,-122.32078840000001
Office,98109,LAKE UNION,47.62007385,-122.3454149
Mixed Use Property,98109,LAKE UNION,47.618967700000006,-122.3446084
Office,98109,LAKE UNION,47.61948966,-122.34459939999999
Worship Facility,98109,LAKE UNION,47.62006912,-122.34070659999999
Laboratory,98119,MAGNOLIA / QUEEN ANNE,47.62239431,-122.3623497
Office,98119,MAGNOLIA / QUEEN ANNE,47.61952541,-122.35846129999999
K-12 School,98125,NORTHWEST,47.72750101,-122.32703719999999
K-12 School,98125,SHARED: NORTH & NORTHWEST,47.71334315,-122.3145902
K-12 School,98116,SOUTHWEST,47.56546417,-122.3968811
Office,98102,LAKE UNION,47.63248578,-122.3252227
Retail Store,98102,LAKE UNION,47.63247757,-122.32660020000002
K-12 School,98118,SOUTHEAST,47.52494786,-122.2747335
K-12 School,98118,SOUTHEAST,47.52427301,-122.27143980000001
Worship Facility,98108,GREATER DUWAMISH,47.55057128,-122.302943
Other - Recreation,98112,EAST,47.63938403,-122.29116709999998
K-12 School,98125,NORTH,47.72466237,-122.30694
"Repair Services (Vehicle, Shoe, Locksmith, etc)",98125,NORTH,47.72044148,-122.2970446
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.53908726,-122.31980209999999
Worship Facility,98122,EAST,47.60319489,-122.32040729999999
Adult Education,98118,SOUTHEAST,47.56029016,-122.2891371
Non-Refrigerated Warehouse,98118,SOUTHEAST,47.54941353,-122.2866398
Office,98118,GREATER DUWAMISH,47.546925,-122.28713929999999
Office,98109,LAKE UNION,47.62047684,-122.34667409999999
Worship Facility,98115,NORTH,47.68573889,-122.31841740000002
Senior Care Community,98109,LAKE UNION,47.61927032,-122.33372498
Worship Facility,98126,SOUTHWEST,47.53442484,-122.3770926
Office,98107,SHARED: BALLARD & LAKE UNION,47.65800828,-122.36533490000002
K-12 School,98126,DELRIDGE NEIGHBORHOODS,47.54173518,-122.37373970000002
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56075287,-122.32642365
Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56067088,-122.32711200000001
Manufacturing/Industrial Plant,98108,GREATER DUWAMISH,47.55014531,-122.33034380000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.56065507,-122.32612560000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54809189,-122.32540894
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.549428000000006,-122.3254576
Office,98108,GREATER DUWAMISH,47.54975663,-122.32598840000001
K-12 School,98102,EAST,47.64171214,-122.31738590000002
Parking,98102,EAST,47.64171214,-122.31738590000002
K-12 School,98102,EAST,47.64171214,-122.31738590000002
Distribution Center,98103,LAKE UNION,47.65766491,-122.34272390000001
Senior Care Community,98133,NORTHWEST,47.72620398,-122.3564757
Worship Facility,98133,NORTHWEST,47.7255637,-122.3577991
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.52183151,-122.32133484
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.51992759,-122.32126470000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.51893997,-122.32105255
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.51912749,-122.321168
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.51967239,-122.32104492
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.51917763,-122.3196011
Office,98125,NORTH,47.7007902,-122.3272232
Other - Recreation,98115,NORTH,47.69883113,-122.32473759999999
Medical Office,98115,NORTH,47.70007386,-122.32524450000001
Medical Office,98115,NORTH,47.7008481,-122.3237648
Self-Storage Facility,98105,NORTHEAST,47.66350353,-122.29490759999999
Mixed Use Property,98105,NORTHEAST,47.6621067,-122.2930208
Medical Office,98105,NORTHEAST,47.66176782,-122.29255
Non-Refrigerated Warehouse,98105,NORTHEAST,47.66278765,-122.29532350000001
Supermarket/Grocery Store,98105,NORTHEAST,47.66208951,-122.29510490000001
Office,98199,MAGNOLIA / QUEEN ANNE,47.63982634,-122.3990624
Worship Facility,98107,BALLARD,47.67478203,-122.38249429999999
College/University,98122,CENTRAL,47.60869656,-122.31459440000002
Worship Facility,98122,CENTRAL,47.6096974,-122.30851329999999
Non-Refrigerated Warehouse,98103,LAKE UNION,47.65026727,-122.34173
Worship Facility,98118,SOUTHEAST,47.54179702,-122.27030459999999
Retail Store,98118,GREATER DUWAMISH,47.53847674,-122.2828621
Supermarket/Grocery Store,98118,GREATER DUWAMISH,47.53747211,-122.28303970000002
K-12 School,98125,NORTH,47.70716999,-122.2846645
Retail Store,98108,GREATER DUWAMISH,47.55046848,-122.32747040000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54780017,-122.32307970000001
Retail Store,98108,GREATER DUWAMISH,47.54919217,-122.3219868
K-12 School,98107,BALLARD,47.67054427,-122.37454709999999
Supermarket/Grocery Store,98107,BALLARD,47.66960543,-122.37477150000001
Supermarket/Grocery Store,98107,BALLARD,47.6682729,-122.37426229999998
Other - Recreation,98107,BALLARD,47.66622062,-122.3746623
Mixed Use Property,98107,BALLARD,47.66431539,-122.3730423
Non-Refrigerated Warehouse,98107,BALLARD,47.66431539,-122.3730423
Non-Refrigerated Warehouse,98107,BALLARD,47.66440226,-122.37247930000001
Library,98107,BALLARD,47.66984275,-122.3843366
Social/Meeting Hall,98107,BALLARD,47.668941499999995,-122.38242340000002
Strip Mall,98107,BALLARD,47.66897819,-122.3860943
Other,98107,BALLARD,47.67483387,-122.37317309999999
Worship Facility,98107,BALLARD,47.66327432,-122.3744499
Retail Store,98107,BALLARD,47.66320164,-122.37272639999999
Office,98107,BALLARD,47.66247704,-122.36956059999999
Office,98107,BALLARD,47.66240689999999,-122.3730847
Retail Store,98107,SHARED: BALLARD & NORTHWEST,47.67511967,-122.36545359999998
Supermarket/Grocery Store,98119,MAGNOLIA / QUEEN ANNE,47.64947283,-122.37785900000002
Office,98119,MAGNOLIA / QUEEN ANNE,47.65015749,-122.37786059999999
Office,98119,MAGNOLIA / QUEEN ANNE,47.65251735,-122.37586100000001
Non-Refrigerated Warehouse,98199,MAGNOLIA / QUEEN ANNE,47.66217902,-122.3877672
Manufacturing/Industrial Plant,98199,MAGNOLIA / QUEEN ANNE,47.661294899999994,-122.387405
Office,98199,MAGNOLIA / QUEEN ANNE,47.66078697,-122.385871
Non-Refrigerated Warehouse,98199,MAGNOLIA / QUEEN ANNE,47.66189649,-122.38901240000001
Retail Store,98117,BALLARD,47.69169639,-122.3761399
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,47.64454136,-122.3758253
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,47.64421262,-122.3757483
Office,98119,MAGNOLIA / QUEEN ANNE,47.65503237,-122.37397469999999
Distribution Center,98119,MAGNOLIA / QUEEN ANNE,47.65577157,-122.3726251
Distribution Center,98199,MAGNOLIA / QUEEN ANNE,47.66158791,-122.3906034
Office,98199,MAGNOLIA / QUEEN ANNE,47.66036376,-122.38620467
Office,98199,MAGNOLIA / QUEEN ANNE,47.6589265,-122.3838031
Office,98199,MAGNOLIA / QUEEN ANNE,47.65795612,-122.38373
Non-Refrigerated Warehouse,98107,BALLARD,47.66359229,-122.3806023
Office,98107,BALLARD,47.66684341,-122.38414001
Other,98107,BALLARD,47.66637392,-122.38272749999999
Office,98107,BALLARD,47.665006,-122.38025084
Office,98107,BALLARD,47.66431841,-122.3800014
Self-Storage Facility,98107,BALLARD,47.66358861,-122.37951709999999
Mixed Use Property,98107,BALLARD,47.66843058,-122.38183529999999
Other - Recreation,98125,NORTH,47.70648872,-122.29386509999999
Office,98125,NORTH,47.71890106,-122.29960259999999
K-12 School,98125,NORTHWEST,47.731823,-122.32625149999998
Distribution Center,98106,DELRIDGE NEIGHBORHOODS,47.55828486,-122.3523537
Worship Facility,98126,SOUTHWEST,47.5170917,-122.3779648
K-12 School,98105,NORTHEAST,47.66630781,-122.3178809
Mixed Use Property,98103,NORTHWEST,47.68590276,-122.3372976
Other,98199,MAGNOLIA / QUEEN ANNE,47.65822335,-122.38431820000001
Office,98199,MAGNOLIA / QUEEN ANNE,47.65708363,-122.3837595
Office,98199,MAGNOLIA / QUEEN ANNE,47.65649246,-122.38376389999999
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,47.6511784,-122.37884309999998
Non-Refrigerated Warehouse,98119,MAGNOLIA / QUEEN ANNE,47.64878477,-122.37987009999999
Other - Entertainment/Public Assembly,98112,EAST,47.63212701,-122.3151412
Office,98133,NORTHWEST,47.70794099,-122.3332257
Retail Store,98125,NORTH,47.70745665,-122.32318819
Senior Care Community,98125,SHARED: NORTH & NORTHWEST,47.71058965,-122.3265178
Office,98133,NORTHWEST,47.70838818,-122.3332973
Mixed Use Property,98125,SHARED: NORTH & NORTHWEST,47.70982623,-122.31863799999999
Retail Store,98125,NORTH,47.70724183,-122.32256399999999
Medical Office,98125,NORTH,47.70661163,-122.32263184
Self-Storage Facility,98125,NORTH,47.70789044,-122.3188821
Other - Recreation,98125,NORTH,47.70519257,-122.32242584
K-12 School,98106,DELRIDGE NEIGHBORHOODS,47.51711754,-122.35972290000001
"Repair Services (Vehicle, Shoe, Locksmith, etc)",98108,DELRIDGE NEIGHBORHOODS,47.53391013,-122.33726840000001
Office,98106,DELRIDGE NEIGHBORHOODS,47.53292767,-122.34026589999999
Other,98109,MAGNOLIA / QUEEN ANNE,47.63142293,-122.34137390000001
Other,98133,NORTHWEST,47.70969561,-122.34565979999999
Medical Office,98133,NORTHWEST,47.70558717,-122.3349479
Hospital (General Medical & Surgical),98133,NORTHWEST,47.71460657,-122.33685259999999
Worship Facility,98133,NORTHWEST,47.71756004,-122.33203020000002
Supermarket/Grocery Store,98144,GREATER DUWAMISH,47.57898152,-122.3129112
Medical Office,98112,EAST,47.61997738,-122.3121244
Distribution Center,98108,DELRIDGE NEIGHBORHOODS,47.5315885,-122.33569909999999
Adult Education,98108,DELRIDGE NEIGHBORHOODS,47.51875781,-122.3370906
Other - Services,98108,DELRIDGE NEIGHBORHOODS,47.52959109,-122.3355729
Non-Refrigerated Warehouse,98144,DOWNTOWN,47.59790914,-122.3154892
Office,98144,DOWNTOWN,47.59711677,-122.3180368
Medical Office,98144,DOWNTOWN,47.59703102,-122.3168033
Office,98144,DOWNTOWN,47.59726811,-122.3158318
K-12 School,98108,GREATER DUWAMISH,47.55786816,-122.3185601
Supermarket/Grocery Store,98117,BALLARD,47.69020556,-122.37611229999999
Retail Store,98133,NORTHWEST,47.72285043,-122.34597759999998
Other,98118,SOUTHEAST,47.54547838,-122.2759121
Office,98125,NORTH,47.72971465,-122.2927811
Non-Refrigerated Warehouse,98125,NORTH,47.72068751,-122.3009125
Other,98125,NORTH,47.72083444,-122.2997946
"Repair Services (Vehicle, Shoe, Locksmith, etc)",98106,SHARED: GREATER DUWAMISH & DELRIDGE NEIGHBORHOODS,47.56323127,-122.3506942
Other,98106,DELRIDGE NEIGHBORHOODS,47.57061835,-122.35635500000001
Office,98106,DELRIDGE NEIGHBORHOODS,47.56876754,-122.36369180000001
Office,98119,MAGNOLIA / QUEEN ANNE,47.624820899999996,-122.35762609999999
Restaurant,98126,SOUTHWEST,47.58667982,-122.37681529999999
Performing Arts,98119,MAGNOLIA / QUEEN ANNE,47.62599182,-122.35846709999998
Non-Refrigerated Warehouse,98119,MAGNOLIA / QUEEN ANNE,47.65676796,-122.3704009
Other,98119,MAGNOLIA / QUEEN ANNE,47.65802175,-122.3828922
Office,98103,LAKE UNION,47.65101371,-122.3553519
Office,98102,LAKE UNION,47.64160748,-122.3255231
Office,98102,LAKE UNION,47.64047271,-122.3255112
Office,98102,LAKE UNION,47.63997419,-122.3255225
Office,98102,LAKE UNION,47.64108252,-122.32622679999999
Worship Facility,98106,DELRIDGE NEIGHBORHOODS,47.52126544,-122.35469509999999
Worship Facility,98106,DELRIDGE NEIGHBORHOODS,47.51981437,-122.35475559999999
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54644126,-122.31706909999998
Social/Meeting Hall,98136,SOUTHWEST,47.52196442,-122.38797040000001
Worship Facility,98136,SOUTHWEST,47.52104275,-122.38700659999999
Supermarket/Grocery Store,98118,SOUTHEAST,47.52263582,-122.268551
K-12 School,98117,BALLARD,47.69493726,-122.3870895
Non-Refrigerated Warehouse,98119,MAGNOLIA / QUEEN ANNE,47.65685926,-122.3752389
Non-Refrigerated Warehouse,98119,MAGNOLIA / QUEEN ANNE,47.63283757,-122.3753418
Office,98119,MAGNOLIA / QUEEN ANNE,47.63069544,-122.37433300000001
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,47.63035202,-122.37393951
Office,98119,MAGNOLIA / QUEEN ANNE,47.631367499999996,-122.37387450000001
Worship Facility,98146,SOUTHWEST,47.50943452,-122.37402250000001
Office,98103,LAKE UNION,47.66114819,-122.34176000000001
K-12 School,98108,GREATER DUWAMISH,47.55250231,-122.29751609999998
Medical Office,98116,SOUTHWEST,47.57290555,-122.38641340000001
Distribution Center,98108,GREATER DUWAMISH,47.52876282,-122.32761880000001
K-12 School,98144,CENTRAL,47.59725267,-122.30583429999999
